"uuid","skill_name","level"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","AWS Config","ADVANCED"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","AWS DynamoDB","ADVANCED"
"11c6f2e8-0110-4ac0-b2a7-9a889ce612f0","AWS DynamoDB","NOVICE"
"51259f56-93cf-4c9d-89f3-cd3e767cb80f","AWS DynamoDB","INTERMEDIATE"
"314911bb-28ae-44e0-a70e-a97bc01f0b18","AWS DynamoDB","INTERMEDIATE"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","AWS EC2","EXPERT"
"bc7343e7-cd47-4d7c-bbca-506add76a7a0","AWS EC2","NOVICE"
"6e99edbc-18f0-43ec-891f-a597192ed91c","AWS EC2","INTERMEDIATE"
"11c6f2e8-0110-4ac0-b2a7-9a889ce612f0","AWS EC2","NOVICE"
"06b36793-381f-4a5f-8544-dd6a02bb4513","AWS EC2","ADVANCED"
"51259f56-93cf-4c9d-89f3-cd3e767cb80f","AWS EC2","INTERMEDIATE"
"314911bb-28ae-44e0-a70e-a97bc01f0b18","AWS EC2","ADVANCED"
"5954d235-8fb1-4af8-8613-67aac403049e","AWS EC2","INTERMEDIATE"
"c8d91564-77b4-46df-b7a4-8d25a82ad950","AWS EC2","NOVICE"
"cd9974b9-da79-4b19-af78-fefac8849238","AWS EC2","NOVICE"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","AWS ECS","INTERMEDIATE"
"6e99edbc-18f0-43ec-891f-a597192ed91c","AWS ECS","INTERMEDIATE"
"11c6f2e8-0110-4ac0-b2a7-9a889ce612f0","AWS ECS","NOVICE"
"06b36793-381f-4a5f-8544-dd6a02bb4513","AWS ECS","ADVANCED"
"51259f56-93cf-4c9d-89f3-cd3e767cb80f","AWS ECS","INTERMEDIATE"
"314911bb-28ae-44e0-a70e-a97bc01f0b18","AWS ECS","INTERMEDIATE"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","AWS EKS","INTERMEDIATE"
"06b36793-381f-4a5f-8544-dd6a02bb4513","AWS EKS","INTERMEDIATE"
"314911bb-28ae-44e0-a70e-a97bc01f0b18","AWS EKS","ADVANCED"
"cd9974b9-da79-4b19-af78-fefac8849238","AWS EKS","NOVICE"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","AWS EMR","ADVANCED"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","AWS Glue","ADVANCED"
"c8d91564-77b4-46df-b7a4-8d25a82ad950","AWS Glue","NOVICE"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","AWS GuardDuty","ADVANCED"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","AWS IAM","EXPERT"
"6e99edbc-18f0-43ec-891f-a597192ed91c","AWS IAM","NOVICE"
"11c6f2e8-0110-4ac0-b2a7-9a889ce612f0","AWS IAM","NOVICE"
"06b36793-381f-4a5f-8544-dd6a02bb4513","AWS IAM","ADVANCED"
"51259f56-93cf-4c9d-89f3-cd3e767cb80f","AWS IAM","INTERMEDIATE"
"314911bb-28ae-44e0-a70e-a97bc01f0b18","AWS IAM","INTERMEDIATE"
