"uuid","skill_name","level"
"a902991c-1e55-4c05-b63e-cec8e57e5ae8","d3.js","INTERMEDIATE"
"81004abb-0743-4d65-80da-3177422b6a04","Photoshop","INTERMEDIATE"
"81004abb-0743-4d65-80da-3177422b6a04","Personas","INTERMEDIATE"
"81004abb-0743-4d65-80da-3177422b6a04","A/B Testing","INTERMEDIATE"
"81004abb-0743-4d65-80da-3177422b6a04","User Testing","INTERMEDIATE"
"81004abb-0743-4d65-80da-3177422b6a04","User Research","INTERMEDIATE"
"81004abb-0743-4d65-80da-3177422b6a04","Heuristic Evaluations","INTERMEDIATE"
"69835cef-9c17-4f08-a06d-bd83dcf497b3","AWS CodeBuild","INTERMEDIATE"
"0355ac2a-a619-41e4-bf3f-4d65e19843e2","AWS Cloudformation","ADVANCED"
"e65c029c-430d-41e1-b677-b7318576ba9b","Python","NOVICE"
"39c19d60-b2fd-45aa-85df-544ca1005af2","Linux","NOVICE"
"f7e2c0a7-a8de-41c8-8b83-028a6223e7a0","Postman","ADVANCED"
"ace83f23-2fe7-43e5-ab19-657d7f460f9e","Unit testing","INTERMEDIATE"
"69835cef-9c17-4f08-a06d-bd83dcf497b3","MongoDB","INTERMEDIATE"
"fe233c78-e3d4-494c-bc1a-c1d94bd3439c","Java","NOVICE"
"81004abb-0743-4d65-80da-3177422b6a04","Bootstrap","NOVICE"
"81004abb-0743-4d65-80da-3177422b6a04","JavaScript","NOVICE"
"2b26248c-dca8-4d29-9db8-e1c24228d989","Git","ADVANCED"
"69835cef-9c17-4f08-a06d-bd83dcf497b3","Cassandra","INTERMEDIATE"
"69835cef-9c17-4f08-a06d-bd83dcf497b3","Continuous Integration","EXPERT"
"387f8efa-aee8-430f-9d2b-555980530f08","Cypress","NOVICE"
"69835cef-9c17-4f08-a06d-bd83dcf497b3","Spark","INTERMEDIATE"
"69835cef-9c17-4f08-a06d-bd83dcf497b3","Docker","ADVANCED"
"69835cef-9c17-4f08-a06d-bd83dcf497b3","Distributed Storage","INTERMEDIATE"
"69835cef-9c17-4f08-a06d-bd83dcf497b3","Jenkins","ADVANCED"
"69835cef-9c17-4f08-a06d-bd83dcf497b3","Node.js","INTERMEDIATE"
"69835cef-9c17-4f08-a06d-bd83dcf497b3","Python","ADVANCED"
"69835cef-9c17-4f08-a06d-bd83dcf497b3","SQL Server","INTERMEDIATE"
"c777661c-3351-4de0-b115-9898ff62d1d8","Project Management Professional (PMP)","NOVICE"
"4390b505-4db6-4bbe-8505-7f938ef7bead","Linux","EXPERT"
"4390b505-4db6-4bbe-8505-7f938ef7bead","Docker","ADVANCED"
"f7e2c0a7-a8de-41c8-8b83-028a6223e7a0","PLSQL","NOVICE"
"f7e2c0a7-a8de-41c8-8b83-028a6223e7a0","Pentesting","NOVICE"
"69835cef-9c17-4f08-a06d-bd83dcf497b3","AWS Route53","ADVANCED"
"69835cef-9c17-4f08-a06d-bd83dcf497b3","AWS SNS","ADVANCED"
"69835cef-9c17-4f08-a06d-bd83dcf497b3","DNS","ADVANCED"
"81004abb-0743-4d65-80da-3177422b6a04","Ideation","INTERMEDIATE"
"c777661c-3351-4de0-b115-9898ff62d1d8","bamboo","NOVICE"
"69835cef-9c17-4f08-a06d-bd83dcf497b3","AWS Athena","INTERMEDIATE"
"69835cef-9c17-4f08-a06d-bd83dcf497b3","AWS CodePipeline","INTERMEDIATE"
"69835cef-9c17-4f08-a06d-bd83dcf497b3","AWS EKS","ADVANCED"
"69835cef-9c17-4f08-a06d-bd83dcf497b3","AWS RDS","ADVANCED"
"69835cef-9c17-4f08-a06d-bd83dcf497b3","AWS SQS","INTERMEDIATE"
"1fbcefd9-78e4-477a-a4c3-7ee2aaa80124","Yii","INTERMEDIATE"
